source,target,source_type,target_type
Madrid,Madrid,Place,Place
ACT-Accelerator,España,Organization,Place
España,ACT-Accelerator,Place,Organization
US,Spain,Place,Place
Spain,US,Place,Place
EE.UU,España,Place,Place
España,EE.UU,Place,Place
Aragón,Castilla,Place,Place
Aragón,León,Place,Place
Castilla,Aragón,Place,Place
Castilla,León,Place,Place
León,Aragón,Place,Place
León,Castilla,Place,Place
Marlaska,Gámez,Person,Person
Marlaska,Iglesias,Person,Person
Gámez,Marlaska,Person,Person
Gámez,Iglesias,Person,Person
Iglesias,Marlaska,Person,Person
Iglesias,Gámez,Person,Person
España,América Latina,Place,Place
España,Caribe,Place,Place
América Latina,España,Place,Place
América Latina,Caribe,Place,Place
Caribe,España,Place,Place
Caribe,América Latina,Place,Place
Portugal,América Latina,Place,Place
Portugal,España,Place,Place
Portugal,Portugal,Place,Place
América Latina,Portugal,Place,Place
América Latina,España,Place,Place
América Latina,Portugal,Place,Place
España,Portugal,Place,Place
España,América Latina,Place,Place
España,Portugal,Place,Place
Portugal,Portugal,Place,Place
Portugal,América Latina,Place,Place
Portugal,España,Place,Place
Andorra,Conferencia Iberoamericana,Place,Organization
Conferencia Iberoamericana,Andorra,Organization,Place
Andorra,América Latina,Place,Place
América Latina,Andorra,Place,Place
Cumbre Iberoamericana,Guatemala,Organization,Place
Guatemala,Cumbre Iberoamericana,Place,Organization
Tratado de París,Comunidad del Carbón,Other,Organization
Tratado de París,Unión Europea,Other,Organization
Tratado de París,Europa,Other,Place
Comunidad del Carbón,Tratado de París,Organization,Other
Comunidad del Carbón,Unión Europea,Organization,Organization
Comunidad del Carbón,Europa,Organization,Place
Unión Europea,Tratado de París,Organization,Other
Unión Europea,Comunidad del Carbón,Organization,Organization
Unión Europea,Europa,Organization,Place
Europa,Tratado de París,Place,Other
Europa,Comunidad del Carbón,Place,Organization
Europa,Unión Europea,Place,Organization
Madrid,Ángel Gabilondo,Place,Person
Madrid,Gobierno de Colón,Place,Organization
Madrid,Madrid,Place,Organization
Ángel Gabilondo,Madrid,Person,Place
Ángel Gabilondo,Gobierno de Colón,Person,Organization
Ángel Gabilondo,Madrid,Person,Organization
Gobierno de Colón,Madrid,Organization,Place
Gobierno de Colón,Ángel Gabilondo,Organization,Person
Gobierno de Colón,Madrid,Organization,Organization
Madrid,Madrid,Organization,Place
Madrid,Ángel Gabilondo,Organization,Person
Madrid,Gobierno de Colón,Organization,Organization
PP,Madrid,Organization,Place
Madrid,PP,Place,Organization
Ferraz,Madrid,Person,Place
Madrid,Ferraz,Place,Person
España,PP,Place,Organization
PP,España,Organization,Place
Gobierno de España,Vox,Organization,Organization
Vox,Gobierno de España,Organization,Organization
España,UE,Place,Organization
UE,España,Organization,Place
Comisión Europea,España,Organization,Place
España,Comisión Europea,Place,Organization
Ecuador,Gobierno de España,Place,Organization
Gobierno de España,Ecuador,Organization,Place
Ley de Cambio Climático,España,Organization,Place
Ley de Cambio Climático,PP,Organization,Organization
Ley de Cambio Climático,Vox,Organization,Organization
España,Ley de Cambio Climático,Place,Organization
España,PP,Place,Organization
España,Vox,Place,Organization
PP,Ley de Cambio Climático,Organization,Organization
PP,España,Organization,Place
PP,Vox,Organization,Organization
Vox,Ley de Cambio Climático,Organization,Organization
Vox,España,Organization,Place
Vox,PP,Organization,Organization
Madrid,España,Place,Place
España,Madrid,Place,Place
Spain,Queen Elizabeth II,Place,Person
Spain,Prince Philip,Place,Person
Spain,Edinburgh,Place,Place
Spain,United Kingdom,Place,Place
Queen Elizabeth II,Spain,Person,Place
Queen Elizabeth II,Prince Philip,Person,Person
Queen Elizabeth II,Edinburgh,Person,Place
Queen Elizabeth II,United Kingdom,Person,Place
Prince Philip,Spain,Person,Place
Prince Philip,Queen Elizabeth II,Person,Person
Prince Philip,Edinburgh,Person,Place
Prince Philip,United Kingdom,Person,Place
Edinburgh,Spain,Place,Place
Edinburgh,Queen Elizabeth II,Place,Person
Edinburgh,Prince Philip,Place,Person
Edinburgh,United Kingdom,Place,Place
United Kingdom,Spain,Place,Place
United Kingdom,Queen Elizabeth II,Place,Person
United Kingdom,Prince Philip,Place,Person
United Kingdom,Edinburgh,Place,Place
África,Destacamento Marfil,Place,Place
África,Dakar,Place,Place
África,España,Place,Place
Destacamento Marfil,África,Place,Place
Destacamento Marfil,Dakar,Place,Place
Destacamento Marfil,España,Place,Place
Dakar,África,Place,Place
Dakar,Destacamento Marfil,Place,Place
Dakar,España,Place,Place
España,África,Place,Place
España,Destacamento Marfil,Place,Place
España,Dakar,Place,Place
Senegal,África,Place,Place
África,Senegal,Place,Place
España,África,Place,Place
España,Senegal,Place,Place
África,España,Place,Place
África,Senegal,Place,Place
Senegal,España,Place,Place
Senegal,África,Place,Place
Senegal,España,Place,Place
España,Senegal,Place,Place
Ley de Cambio Climático,España,Organization,Place
España,Ley de Cambio Climático,Place,Organization
Colegio Salesiano Don Bosco,Luanda,Place,Place
Colegio Salesiano Don Bosco,España,Place,Place
Colegio Salesiano Don Bosco,Angola,Place,Place
Luanda,Colegio Salesiano Don Bosco,Place,Place
Luanda,España,Place,Place
Luanda,Angola,Place,Place
España,Colegio Salesiano Don Bosco,Place,Place
España,Luanda,Place,Place
España,Angola,Place,Place
Angola,Colegio Salesiano Don Bosco,Place,Place
Angola,Luanda,Place,Place
Angola,España,Place,Place
Angola,España,Place,Place
España,Angola,Place,Place
Gobierno de España,Angola,Organization,Place
Angola,Gobierno de España,Place,Organization
España,FMI,Place,Organization
España,EE.UU.,Place,Place
FMI,España,Organization,Place
FMI,EE.UU.,Organization,Place
EE.UU.,España,Place,Place
EE.UU.,FMI,Place,Organization
Argentina,Alberto,Place,Person
Alberto,Argentina,Person,Place
Comunidad de Madrid,Madrid,Place,Place
Madrid,Comunidad de Madrid,Place,Place
Madrid,Gobierno de Colón,Place,Organization
Gobierno de Colón,Madrid,Organization,Place
Comunidad de Madrid,Ferraz,Organization,Place
Comunidad de Madrid,Ángel Gabilondo,Organization,Person
Ferraz,Comunidad de Madrid,Place,Organization
Ferraz,Ángel Gabilondo,Place,Person
Ángel Gabilondo,Comunidad de Madrid,Person,Organization
Ángel Gabilondo,Ferraz,Person,Place
África,España,Place,Place
África,Europa,Place,Place
España,África,Place,Place
España,Europa,Place,Place
Europa,África,Place,Place
Europa,España,Place,Place
Colón,PP,Place,Organization
Colón,VOX,Place,Organization
Colón,plaza de Colón,Place,Place
Colón,Madrid,Place,Place
Colón,Ángel Gabilondo,Place,Person
PP,Colón,Organization,Place
