source,target,source_type,target_type
Alto Representante,España,Organization,Place
España,Alto Representante,Place,Organization
Estados,Europa Social,Place,Organization
Europa Social,Estados,Organization,Place
Bélgica,Holanda,Place,Place
Bélgica,Portugal,Place,Place
Bélgica,Francia,Place,Place
Holanda,Bélgica,Place,Place
Holanda,Portugal,Place,Place
Holanda,Francia,Place,Place
Portugal,Bélgica,Place,Place
Portugal,Holanda,Place,Place
Portugal,Francia,Place,Place
Francia,Bélgica,Place,Place
Francia,Holanda,Place,Place
Francia,Portugal,Place,Place
Angela Merkel,Unión,Person,Place
Unión,Angela Merkel,Place,Person
España,Europa,Place,Place
Europa,España,Place,Place
El Elíseo,República Francesa,Place,Organization
República Francesa,El Elíseo,Organization,Place
España,Europa,Place,Place
Europa,España,Place,Place
Europa,España,Place,Place
España,Europa,Place,Place
Antonio Banderas,Cannes,Person,Place
Antonio Banderas,Dolor y Gloria,Person,Other
Cannes,Antonio Banderas,Place,Person
Cannes,Dolor y Gloria,Place,Other
Dolor y Gloria,Antonio Banderas,Other,Person
Dolor y Gloria,Cannes,Other,Place
España,Europa,Place,Place
Europa,España,Place,Place
Europa,España,Place,Place
España,Europa,Place,Place
Europa,Madrid,Place,Place
Madrid,Europa,Place,Place
España,Europa,Place,Place
Europa,España,Place,Place
Madrid,Madrid,Place,Organization
Madrid,Madrid,Organization,Place
Valladolid,Valladolid,Place,Place
Valladolid,Valladolid,Place,Place
Comisión Europea,Europa,Organization,Place
Europa,Comisión Europea,Place,Organization
Europa,Cataluña,Place,Place
Europa,Barcelona,Place,Place
Europa,España,Place,Place
Cataluña,Europa,Place,Place
Cataluña,Barcelona,Place,Place
Cataluña,España,Place,Place
Barcelona,Europa,Place,Place
Barcelona,Cataluña,Place,Place
Barcelona,España,Place,Place
España,Europa,Place,Place
España,Cataluña,Place,Place
España,Barcelona,Place,Place
Barcelona,Barcelona,Place,Place
Barcelona,Colau,Place,Person
Barcelona,Maragall,Place,Place
Barcelona,Barcelona,Place,Place
Barcelona,Colau,Place,Person
Barcelona,Maragall,Place,Place
Colau,Barcelona,Person,Place
Colau,Barcelona,Person,Place
Colau,Maragall,Person,Place
Maragall,Barcelona,Place,Place
Maragall,Barcelona,Place,Place
Maragall,Colau,Place,Person
Europa,UE,Place,Organization
Europa,Alemania,Place,Place
Europa,Malta,Place,Place
UE,Europa,Organization,Place
UE,Alemania,Organization,Place
UE,Malta,Organization,Place
Alemania,Europa,Place,Place
Alemania,UE,Place,Organization
Alemania,Malta,Place,Place
Malta,Europa,Place,Place
Malta,UE,Place,Organization
Malta,Alemania,Place,Place
España,Europa,Place,Place
Europa,España,Place,Place
PP,Cs,Organization,Organization
PP,España,Organization,Place
Cs,PP,Organization,Organization
Cs,España,Organization,Place
España,PP,Place,Organization
España,Cs,Place,Organization
Extremadura,PP,Place,Organization
Extremadura,Extremadura,Place,Place
PP,Extremadura,Organization,Place
PP,Extremadura,Organization,Place
Extremadura,Extremadura,Place,Place
Extremadura,PP,Place,Organization
Parlamento,España,Organization,Place
Parlamento,UE,Organization,Organization
España,Parlamento,Place,Organization
España,UE,Place,Organization
UE,Parlamento,Organization,Organization
UE,España,Organization,Place
Inés,Rep. Centroafricana,Person,Place
Inés,Fernando,Person,Person
Inés,Burkina Faso,Person,Place
Rep. Centroafricana,Inés,Place,Person
Rep. Centroafricana,Fernando,Place,Person
Rep. Centroafricana,Burkina Faso,Place,Place
Fernando,Inés,Person,Person
Fernando,Rep. Centroafricana,Person,Place
Fernando,Burkina Faso,Person,Place
Burkina Faso,Inés,Place,Person
Burkina Faso,Rep. Centroafricana,Place,Place
Burkina Faso,Fernando,Place,Person
Meritxell Batet,Manuel Cruz,Person,Person
Manuel Cruz,Meritxell Batet,Person,Person
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,PAC,Place,Organization
Europa,Parlamento Europeo,Place,Organization
PAC,Europa,Organization,Place
PAC,Parlamento Europeo,Organization,Organization
Parlamento Europeo,Europa,Organization,Place
Parlamento Europeo,PAC,Organization,Organization
Melilla,Melilla,Place,Place
Melilla,Melilla,Place,Place
UE,Europa,Organization,Place
Europa,UE,Place,Organization
Cantabria,Cantabria,Place,Place
Cantabria,Cantabria,Place,Place
Cantabria,Cantabria,Place,Place
Cantabria,Cantabria,Place,Place
Cantabria,Cantabria,Place,Place
Cantabria,Cantabria,Place,Place
España,España,Place,Place
España,España,Place,Place
Castilla-La Mancha,Castilla-La Mancha,Place,Place
Castilla-La Mancha,Castilla-La Mancha,Place,Place
Comisión Ejecutiva Federal,Manuel Cruz,Organization,Person
Manuel Cruz,Comisión Ejecutiva Federal,Person,Organization
ETA,Josu Ternera,Organization,Person
ETA,Alfredo Pérez Rubalcaba,Organization,Person
Josu Ternera,ETA,Person,Organization
Josu Ternera,Alfredo Pérez Rubalcaba,Person,Person
Alfredo Pérez Rubalcaba,ETA,Person,Organization
Alfredo Pérez Rubalcaba,Josu Ternera,Person,Person
ETA,Josu Ternera,Organization,Person
ETA,Francia,Organization,Place
Josu Ternera,ETA,Person,Organization
Josu Ternera,Francia,Person,Place
Francia,ETA,Place,Organization
Francia,Josu Ternera,Place,Person
Senado,Partido Socialista,Organization,Organization
Senado,Cataluña,Organization,Place
Senado,Cataluña,Organization,Place
Senado,España,Organization,Place
Partido Socialista,Senado,Organization,Organization
Partido Socialista,Cataluña,Organization,Place
Partido Socialista,Cataluña,Organization,Place
Partido Socialista,España,Organization,Place
Cataluña,Senado,Place,Organization
Cataluña,Partido Socialista,Place,Organization
Cataluña,Cataluña,Place,Place
Cataluña,España,Place,Place
Cataluña,Senado,Place,Organization
Cataluña,Partido Socialista,Place,Organization
Cataluña,Cataluña,Place,Place
Cataluña,España,Place,Place
España,Senado,Place,Organization
España,Partido Socialista,Place,Organization
España,Cataluña,Place,Place
España,Cataluña,Place,Place
Gipuzkoa,Donostia,Place,Place
Donostia,Gipuzkoa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
España,España,Place,Place
España,España,Place,Place
Alfredo,España,Person,Place
Alfredo,Manuel Azaña,Person,Person
España,Alfredo,Place,Person
España,Manuel Azaña,Place,Person
Manuel Azaña,Alfredo,Person,Person
Manuel Azaña,España,Person,Place
Torrepacheco,María Lourdes,Place,Person
María Lourdes,Torrepacheco,Person,Place
ETA,Alfredo,Organization,Person
ETA,España,Organization,Place
ETA,Pilar,Organization,Person
Alfredo,ETA,Person,Organization
Alfredo,España,Person,Place
Alfredo,Pilar,Person,Person
España,ETA,Place,Organization
España,Alfredo,Place,Person
España,Pilar,Place,Person
Pilar,ETA,Person,Organization
Pilar,Alfredo,Person,Person
Pilar,España,Person,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Europa,Europa,Place,Place
Anchuras,Ciudad Real,Place,Place
Ciudad Real,Anchuras,Place,Place
Vallecas,Madrid,Place,Place
Madrid,Vallecas,Place,Place
España,España,Place,Place
España,Colón,Place,Place
España,España,Place,Place
España,Colón,Place,Place
Colón,España,Place,Place
Colón,España,Place,Place
Trump,EE.UU,Person,Place
Trump,Brasil,Person,Place
Trump,Brexit,Person,Organization
Trump,España,Person,Place
EE.UU,Trump,Place,Person
EE.UU,Brasil,Place,Place
EE.UU,Brexit,Place,Organization
EE.UU,España,Place,Place
Brasil,Trump,Place,Person
Brasil,EE.UU,Place,Place
Brasil,Brexit,Place,Organization
Brasil,España,Place,Place
Brexit,Trump,Organization,Person
Brexit,EE.UU,Organization,Place
Brexit,Brasil,Organization,Place
Brexit,España,Organization,Place
España,Trump,Place,Person
España,EE.UU,Place,Place
España,Brasil,Place,Place
España,Brexit,Place,Organization
Andalucía,España,Place,Place
España,Andalucía,Place,Place
Trump,Brexit,Person,Organization
Trump,Colón,Person,Place
Trump,España,Person,Place
Brexit,Trump,Organization,Person
Brexit,Colón,Organization,Place
Brexit,España,Organization,Place
Colón,Trump,Place,Person
Colón,Brexit,Place,Organization
Colón,España,Place,Place
España,Trump,Place,Person
España,Brexit,Place,Organization
España,Colón,Place,Place
España,España,Place,Place
España,Anne,Place,Person
España,España,Place,Place
España,Anne,Place,Person
Anne,España,Person,Place
Anne,España,Person,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,Plaza de Colón,Place,Place
España,España,Place,Place
España,España,Place,Place
España,Plaza de Colón,Place,Place
España,España,Place,Place
España,España,Place,Place
España,Plaza de Colón,Place,Place
Plaza de Colón,España,Place,Place
Plaza de Colón,España,Place,Place
Plaza de Colón,España,Place,Place
Navarra,Programa Mundial de Alimentos,Place,Other
Programa Mundial de Alimentos,Navarra,Other,Place
Adeje,Tenerife,Place,Place
Tenerife,Adeje,Place,Place
Andalucía,Rivera,Place,Person
Rivera,Andalucía,Person,Place
España,Andalucía,Place,Place
España,España,Place,Place
Andalucía,España,Place,Place
Andalucía,España,Place,Place
España,España,Place,Place
España,Andalucía,Place,Place
Castilla,León,Place,Place
Castilla,Villalar de los Comuneros,Place,Place
Castilla,Aragón,Place,Place
Castilla,San Jorge,Place,Place
León,Castilla,Place,Place
León,Villalar de los Comuneros,Place,Place
León,Aragón,Place,Place
León,San Jorge,Place,Place
Villalar de los Comuneros,Castilla,Place,Place
Villalar de los Comuneros,León,Place,Place
Villalar de los Comuneros,Aragón,Place,Place
Villalar de los Comuneros,San Jorge,Place,Place
Aragón,Castilla,Place,Place
Aragón,León,Place,Place
Aragón,Villalar de los Comuneros,Place,Place
Aragón,San Jorge,Place,Place
San Jorge,Castilla,Place,Place
San Jorge,León,Place,Place
San Jorge,Villalar de los Comuneros,Place,Place
San Jorge,Aragón,Place,Place
Sr. Casado,Sr. Rivera,Person,Person
Sr. Rivera,Sr. Casado,Person,Person
España,España,Place,Place
España,España,Place,Place
PP,Cs,Organization,Organization
Cs,PP,Organization,Organization
Sri Lanka,Pascua de Resurrección,Place,Place
Pascua de Resurrección,Sri Lanka,Place,Place
Barcelona,Pamplona,Place,Place
Pamplona,Barcelona,Place,Place
España,España,Place,Place
España,España,Place,Place
PSOE,España,Organization,Place
España,PSOE,Place,Organization
España,España,Place,Place
España,España,Place,Place
PP,Ciudadanos,Organization,Organization
Ciudadanos,PP,Organization,Organization
Pablo,España,Person,Place
España,Pablo,Place,Person
Cataluña,España,Place,Place
España,Cataluña,Place,Place
Seu Vella,Víctor Orrit,Place,Person
Víctor Orrit,Seu Vella,Person,Place
Notre Dame,Francia,Place,Place
Notre Dame,España,Place,Place
Notre Dame,Europa,Place,Place
Notre Dame,Francia,Place,Place
Francia,Notre Dame,Place,Place
Francia,España,Place,Place
Francia,Europa,Place,Place
Francia,Francia,Place,Place
España,Notre Dame,Place,Place
España,Francia,Place,Place
España,Europa,Place,Place
España,Francia,Place,Place
Europa,Notre Dame,Place,Place
Europa,Francia,Place,Place
Europa,España,Place,Place
Europa,Francia,Place,Place
Francia,Notre Dame,Place,Place
Francia,Francia,Place,Place
Francia,España,Place,Place
Francia,Europa,Place,Place
París,Notre Dame,Place,Place
Notre Dame,París,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
Quico Toscano,Caseta Municipal del Recinto Ferial,Person,Place
Caseta Municipal del Recinto Ferial,Quico Toscano,Place,Person
España,Theresa May.,Place,Person
España,España,Place,Place
Theresa May.,España,Person,Place
Theresa May.,España,Person,Place
España,España,Place,Place
España,Theresa May.,Place,Person
Manuel Tundidor,Ecuador,Person,Place
Ecuador,Manuel Tundidor,Place,Person
CIS,Andalucía,Organization,Place
Andalucía,CIS,Place,Organization
España,Estrategia Nacional de Ciberseguridad,Place,Other
Estrategia Nacional de Ciberseguridad,España,Other,Place
Oficina de Atención al Deportista,COE,Organization,Place
COE,Oficina de Atención al Deportista,Place,Organization
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
Cataluña,Cataluña,Place,Place
PP,Cs,Organization,Organization
PP,VOX,Organization,Organization
PP,Colón,Organization,Place
PP,España,Organization,Place
Cs,PP,Organization,Organization
Cs,VOX,Organization,Organization
Cs,Colón,Organization,Place
Cs,España,Organization,Place
VOX,PP,Organization,Organization
VOX,Cs,Organization,Organization
VOX,Colón,Organization,Place
VOX,España,Organization,Place
Colón,PP,Place,Organization
Colón,Cs,Place,Organization
Colón,VOX,Place,Organization
Colón,España,Place,Place
España,PP,Place,Organization
España,Cs,Place,Organization
España,VOX,Place,Organization
España,Colón,Place,Place
María José,PP,Person,Organization
María José,Cs,Person,Organization
María José,PSOE,Person,Organization
PP,María José,Organization,Person
PP,Cs,Organization,Organization
PP,PSOE,Organization,Organization
Cs,María José,Organization,Person
Cs,PP,Organization,Organization
Cs,PSOE,Organization,Organization
PSOE,María José,Organization,Person
PSOE,PP,Organization,Organization
PSOE,Cs,Organization,Organization
Gibraltar,España,Place,Place
España,Gibraltar,Place,Place
María Luisa Faneca,Gabriel Cruz,Person,Person
Gabriel Cruz,María Luisa Faneca,Person,Person
España,España,Place,Place
España,España,Place,Place
Tenerife,Alicante,Place,Place
Alicante,Tenerife,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
Madrid,España,Place,Place
España,Madrid,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
Suárez Illana,Rivera,Person,Person
Suárez Illana,Casado,Person,Person
Rivera,Suárez Illana,Person,Person
Rivera,Casado,Person,Person
Casado,Suárez Illana,Person,Person
Casado,Rivera,Person,Person
José Guirao,José Luis Sánchez,Person,Person
José Guirao,Adriana Valverde,Person,Person
José Guirao,Fernando Martínez,Person,Person
José Luis Sánchez,José Guirao,Person,Person
José Luis Sánchez,Adriana Valverde,Person,Person
José Luis Sánchez,Fernando Martínez,Person,Person
Adriana Valverde,José Guirao,Person,Person
Adriana Valverde,José Luis Sánchez,Person,Person
Adriana Valverde,Fernando Martínez,Person,Person
Fernando Martínez,José Guirao,Person,Person
Fernando Martínez,José Luis Sánchez,Person,Person
Fernando Martínez,Adriana Valverde,Person,Person
España,España,Place,Place
España,España,Place,Place
Seguro Europeo de Desempleo,España,Other,Place
España,Seguro Europeo de Desempleo,Place,Other
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,Fomento del Ecosistema,Place,Organization
España,España,Place,Place
Fomento del Ecosistema,España,Organization,Place
Fomento del Ecosistema,España,Organization,Place
España,España,Place,Place
España,Fomento del Ecosistema,Place,Organization
Marcos Garrido,Jerez,Person,Place
Jerez,Marcos Garrido,Place,Person
Europa,Ateneo de Madrid,Place,Place
Europa,Bruselas,Place,Place
Ateneo de Madrid,Europa,Place,Place
Ateneo de Madrid,Bruselas,Place,Place
Bruselas,Europa,Place,Place
Bruselas,Ateneo de Madrid,Place,Place
Pedro Duque,Ana Barceló,Person,Person
Ana Barceló,Pedro Duque,Person,Person
Acuerdos de París,Europa,Organization,Place
Europa,Acuerdos de París,Place,Organization
Angela Merkel,Consejo Europeo,Person,Organization
Consejo Europeo,Angela Merkel,Organization,Person
Reino Unido,Parlamento,Place,Organization
Parlamento,Reino Unido,Organization,Place
Antonio Tajani,España,Person,Place
España,Antonio Tajani,Place,Person
España,Bruselas,Place,Place
Bruselas,España,Place,Place
Brexit,Europa,Organization,Place
Brexit,Europa,Organization,Place
Europa,Brexit,Place,Organization
Europa,Europa,Place,Place
Europa,Brexit,Place,Organization
Europa,Europa,Place,Place
España,España,Place,Place
España,España,Place,Place
Comisión Ejecutiva Federal,Comité Federal,Organization,Organization
Comité Federal,Comisión Ejecutiva Federal,Organization,Organization
España,Madrid,Place,Place
España,Ángel Gabilondo,Place,Person
España,Pepu Hernández,Place,Person
Madrid,España,Place,Place
Madrid,Ángel Gabilondo,Place,Person
Madrid,Pepu Hernández,Place,Person
Ángel Gabilondo,España,Person,Place
Ángel Gabilondo,Madrid,Person,Place
Ángel Gabilondo,Pepu Hernández,Person,Person
Pepu Hernández,España,Person,Place
Pepu Hernández,Madrid,Person,Place
Pepu Hernández,Ángel Gabilondo,Person,Person
Teatro Goya,Ángel Gabilondo,Place,Person
Teatro Goya,Pepu Hernández,Place,Person
Teatro Goya,José Manuel Franco,Place,Person
Teatro Goya,Madrid,Place,Place
Ángel Gabilondo,Teatro Goya,Person,Place
Ángel Gabilondo,Pepu Hernández,Person,Person
Ángel Gabilondo,José Manuel Franco,Person,Person
Ángel Gabilondo,Madrid,Person,Place
Pepu Hernández,Teatro Goya,Person,Place
Pepu Hernández,Ángel Gabilondo,Person,Person
Pepu Hernández,José Manuel Franco,Person,Person
Pepu Hernández,Madrid,Person,Place
José Manuel Franco,Teatro Goya,Person,Place
José Manuel Franco,Ángel Gabilondo,Person,Person
José Manuel Franco,Pepu Hernández,Person,Person
José Manuel Franco,Madrid,Person,Place
Madrid,Teatro Goya,Place,Place
Madrid,Ángel Gabilondo,Place,Person
Madrid,Pepu Hernández,Place,Person
Madrid,José Manuel Franco,Place,Person
PP,Cs,Organization,Organization
PP,España,Organization,Place
PP,PSOE,Organization,Organization
Cs,PP,Organization,Organization
Cs,España,Organization,Place
Cs,PSOE,Organization,Organization
España,PP,Place,Organization
España,Cs,Place,Organization
España,PSOE,Place,Organization
PSOE,PP,Organization,Organization
PSOE,Cs,Organization,Organization
PSOE,España,Organization,Place
Christchurch,Nueva Zelanda,Place,Place
Nueva Zelanda,Christchurch,Place,Place
Cuca Solana,Pasarela Cibeles,Person,Place
Pasarela Cibeles,Cuca Solana,Place,Person
PP,Cs,Organization,Organization
PP,España,Organization,Place
Cs,PP,Organization,Organization
Cs,España,Organization,Place
España,PP,Place,Organization
España,Cs,Place,Organization
Casa Malva,España,Place,Place
España,Casa Malva,Place,Place
Parlamento,Acuerdo de Retirada,Organization,Organization
Parlamento,España,Organization,Place
Acuerdo de Retirada,Parlamento,Organization,Organization
Acuerdo de Retirada,España,Organization,Place
España,Parlamento,Place,Organization
España,Acuerdo de Retirada,Place,Organization
Parlamento,UE,Organization,Organization
Parlamento,Europa,Organization,Place
Parlamento,Europa,Organization,Place
UE,Parlamento,Organization,Organization
UE,Europa,Organization,Place
UE,Europa,Organization,Place
Europa,Parlamento,Place,Organization
Europa,UE,Place,Organization
Europa,Europa,Place,Place
Europa,Parlamento,Place,Organization
Europa,UE,Place,Organization
Europa,Europa,Place,Place
España,Europa,Place,Place
España,Europa,Place,Place
Europa,España,Place,Place
Europa,Europa,Place,Place
Europa,España,Place,Place
Europa,Europa,Place,Place
España,UE,Place,Organization
UE,España,Organization,Place
Martín Chirino,El premio Nacional de Artes Plásticas o la Medalla de Oro a las Bellas Artes,Person,Other
El premio Nacional de Artes Plásticas o la Medalla de Oro a las Bellas Artes,Martín Chirino,Other,Person
Madrid,Estepona,Place,Place
Estepona,Madrid,Place,Place
PP,Rivera,Organization,Person
Rivera,PP,Person,Organization
España,Tomás Rodríguez Bolaños,Place,Person
Tomás Rodríguez Bolaños,España,Person,Place
Clara Campoamor,España,Person,Place
Clara Campoamor,San Sebastián,Person,Place
España,Clara Campoamor,Place,Person
España,San Sebastián,Place,Place
San Sebastián,Clara Campoamor,Place,Person
San Sebastián,España,Place,Place
Pérez,Llorca,Person,Person
Llorca,Pérez,Person,Person
Colón,Rivera,Place,Person
Rivera,Colón,Person,Place
PP,Ciudadanos,Organization,Organization
Ciudadanos,PP,Organization,Organization
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
Ana Peleteiro,Europa,Person,Place
Ana Peleteiro,España,Person,Place
Europa,Ana Peleteiro,Place,Person
Europa,España,Place,Place
España,Ana Peleteiro,Place,Person
España,Europa,Place,Place
La Moncloa,República del Perú,Place,Place
República del Perú,La Moncloa,Place,Place
Xabier Arzalluz,PNV,Person,Organization
PNV,Xabier Arzalluz,Organization,Person
Ciudadanos,PP,Organization,Organization
PP,Ciudadanos,Organization,Organization
España,España,Place,Place
España,España,Place,Place
Transición Ecológica,Tomás,Other,Person
Tomás,Transición Ecológica,Person,Other
cementerio de Colliure,Antonio Machado,Place,Person
cementerio de Colliure,España,Place,Place
Antonio Machado,cementerio de Colliure,Person,Place
Antonio Machado,España,Person,Place
España,cementerio de Colliure,Place,Place
España,Antonio Machado,Place,Person
España,Manuel Azaña,Place,Person
Manuel Azaña,España,Person,Place
Rosa León,Rosa,Person,Person
Rosa,Rosa León,Person,Person
Francia,España,Place,Place
España,Francia,Place,Place
España,Plaza de Colón,Place,Place
Plaza de Colón,España,Place,Place
Pamela Rendi,Wagner,Person,Person
Pamela Rendi,Madrid,Person,Place
Wagner,Pamela Rendi,Person,Person
Wagner,Madrid,Person,Place
Madrid,Pamela Rendi,Place,Person
Madrid,Wagner,Place,Person
Stefan Lövfen,El Guernica,Person,Other
Stefan Lövfen,Picasso,Person,Person
El Guernica,Stefan Lövfen,Other,Person
El Guernica,Picasso,Other,Person
Picasso,Stefan Lövfen,Person,Person
Picasso,El Guernica,Person,Other
Marco Financiero Plurianual,Stefan Löfven,Person,Person
Stefan Löfven,Marco Financiero Plurianual,Person,Person
Francia,Colliure,Place,Place
Colliure,Francia,Place,Place
La Moncloa,Mobile World Congress,Place,Other
La Moncloa,John Hoffman,Place,Person
La Moncloa,Barcelona,Place,Place
Mobile World Congress,La Moncloa,Other,Place
Mobile World Congress,John Hoffman,Other,Person
Mobile World Congress,Barcelona,Other,Place
John Hoffman,La Moncloa,Person,Place
John Hoffman,Mobile World Congress,Person,Other
John Hoffman,Barcelona,Person,Place
Barcelona,La Moncloa,Place,Place
Barcelona,Mobile World Congress,Place,Other
Barcelona,John Hoffman,Place,Person
España,PP,Place,Organization
PP,España,Organization,Place
Cataluña,España,Place,Place
España,Cataluña,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
España,España,Place,Place
Antonio César Fernández,Burkina Faso,Person,Place
Burkina Faso,Antonio César Fernández,Place,Person
La Moncloa,Santiago Muñoz Machado,Place,Person
La Moncloa,RAE,Place,Organization
La Moncloa,Latinoamérica,Place,Place
Santiago Muñoz Machado,La Moncloa,Person,Place
Santiago Muñoz Machado,RAE,Person,Organization
Santiago Muñoz Machado,Latinoamérica,Person,Place
RAE,La Moncloa,Organization,Place
RAE,Santiago Muñoz Machado,Organization,Person
RAE,Latinoamérica,Organization,Place
Latinoamérica,La Moncloa,Place,Place
Latinoamérica,Santiago Muñoz Machado,Place,Person
Latinoamérica,RAE,Place,Organization
Garafía,La Palma,Place,Place
La Palma,Garafía,Place,Place
Cataluña,España,Place,Place
España,Cataluña,Place,Place
St. Vicenç de Castellet,Manresa,Place,Place
Manresa,St. Vicenç de Castellet,Place,Place
Gobierno de España,Cataluña,Organization,Place
Cataluña,Gobierno de España,Place,Organization
Estrasburgo,Tribunal Europeo de Derechos Humanos,Place,Organization
Estrasburgo,Guido Raimondi,Place,Person
Tribunal Europeo de Derechos Humanos,Estrasburgo,Organization,Place
Tribunal Europeo de Derechos Humanos,Guido Raimondi,Organization,Person
Guido Raimondi,Estrasburgo,Person,Place
Guido Raimondi,Tribunal Europeo de Derechos Humanos,Person,Organization
Consejo de Europa,España,Organization,Place
Consejo de Europa,Estrasburgo,Organization,Place
España,Consejo de Europa,Place,Organization
España,Estrasburgo,Place,Place
Estrasburgo,Consejo de Europa,Place,Organization
Estrasburgo,España,Place,Place
Felipe VI,Patronato,Person,Organization
Patronato,Felipe VI,Organization,Person
Banco Central Europeo,Mario Draghi,Organization,Person
Mario Draghi,Banco Central Europeo,Person,Organization
Grupo de Contacto Internacional,UE,Organization,Organization
UE,Grupo de Contacto Internacional,Organization,Organization
Casado,Rivera,Person,Person
Rivera,Casado,Person,Person
Maduro,Maduro,Person,Person
Maduro,Europa,Person,Place
Maduro,Venezuela,Person,Place
Maduro,Maduro,Person,Person
Maduro,Europa,Person,Place
Maduro,Venezuela,Person,Place
Europa,Maduro,Place,Person
Europa,Maduro,Place,Person
Europa,Venezuela,Place,Place
Venezuela,Maduro,Place,Person
Venezuela,Maduro,Place,Person
Venezuela,Europa,Place,Place
Europa,España,Place,Place
España,Europa,Place,Place
España,América Latina,Place,Place
España,Venezuela,Place,Place
España,Venezuela,Place,Place
América Latina,España,Place,Place
América Latina,Venezuela,Place,Place
América Latina,Venezuela,Place,Place
Venezuela,España,Place,Place
Venezuela,América Latina,Place,Place
Venezuela,Venezuela,Place,Place
Venezuela,España,Place,Place
Venezuela,América Latina,Place,Place
Venezuela,Venezuela,Place,Place
España,Venezuela,Place,Place
Venezuela,España,Place,Place
España,Julen,Place,Person
Julen,España,Person,Place
Atocha,Brasil,Place,Place
Atocha,Carlos García Juliá,Place,Person
Brasil,Atocha,Place,Place
Brasil,Carlos García Juliá,Place,Person
Carlos García Juliá,Atocha,Person,Place
Carlos García Juliá,Brasil,Person,Place
Guatemala,El Salvador,Place,Place
Guatemala,Honduras,Place,Place
Guatemala,Nicaragua,Place,Place
Guatemala,República Dominicana,Place,Place
Guatemala,Panamá,Place,Place
El Salvador,Guatemala,Place,Place
El Salvador,Honduras,Place,Place
El Salvador,Nicaragua,Place,Place
El Salvador,República Dominicana,Place,Place
El Salvador,Panamá,Place,Place
Honduras,Guatemala,Place,Place
Honduras,El Salvador,Place,Place
Honduras,Nicaragua,Place,Place
Honduras,República Dominicana,Place,Place
Honduras,Panamá,Place,Place
Nicaragua,Guatemala,Place,Place
Nicaragua,El Salvador,Place,Place
Nicaragua,Honduras,Place,Place
Nicaragua,República Dominicana,Place,Place
Nicaragua,Panamá,Place,Place
República Dominicana,Guatemala,Place,Place
República Dominicana,El Salvador,Place,Place
República Dominicana,Honduras,Place,Place
República Dominicana,Nicaragua,Place,Place
República Dominicana,Panamá,Place,Place
Panamá,Guatemala,Place,Place
Panamá,El Salvador,Place,Place
Panamá,Honduras,Place,Place
Panamá,Nicaragua,Place,Place
Panamá,República Dominicana,Place,Place
Cybersecurity,Spain,Organization,Place
Spain,Cybersecurity,Place,Organization
Palacio de Congresos de Madrid,Organización Mundial de Turismo,Place,Other
Organización Mundial de Turismo,Palacio de Congresos de Madrid,Other,Place
Lolo Rico,España,Person,Place
Lolo Rico,Bola de Cristal,Person,Organization
España,Lolo Rico,Place,Person
España,Bola de Cristal,Place,Organization
Bola de Cristal,Lolo Rico,Organization,Person
Bola de Cristal,España,Organization,Place
España,España,Place,Place
España,España,Place,Place
Comisión Europea el Plan Nacional Integrado de Energía y Clima,España,Organization,Place
España,Comisión Europea el Plan Nacional Integrado de Energía y Clima,Place,Organization
Lanzarote,Tenerife,Place,Place
Lanzarote,Zaragoza,Place,Place
Lanzarote,Meco,Place,Person
Tenerife,Lanzarote,Place,Place
Tenerife,Zaragoza,Place,Place
Tenerife,Meco,Place,Person
Zaragoza,Lanzarote,Place,Place
Zaragoza,Tenerife,Place,Place
Zaragoza,Meco,Place,Person
Meco,Lanzarote,Person,Place
Meco,Tenerife,Person,Place
Meco,Zaragoza,Person,Place
Vicente Álvarez Areces,Gijón,Person,Place
Vicente Álvarez Areces,Asturias,Person,Place
Vicente Álvarez Areces,Alcaldía,Person,Organization
