Id,Label,category
Guerra Civil,Guerra Civil,Other
España,España,Place
Europa,Europa,Place
PP,PP,Organization
PP,PP,Organization
Renault,Renault,Organization
España,España,Place
Madrid,Madrid,Place
Madrid,Madrid,Place
Madrid,Madrid,Place
Madrid,Madrid,Place
Ángel Gabilondo,Ángel Gabilondo,Person
Madrid,Madrid,Place
Madrid,Madrid,Place
PP de Casado,PP de Casado,Organization
Partido Popular,Partido Popular,Organization
Francia,Francia,Place
Convenio de Doble Nacionalidad,Convenio de Doble Nacionalidad,Organization
Montauban,Montauban,Place
Madrid,Madrid,Place
Día Europeo de las Víctimas del Terrorismo,Día Europeo de las Víctimas del Terrorismo,Other
ERTE,ERTE,Organization
Gobierno,Gobierno,Organization
PP,PP,Organization
ELA,ELA,Organization
Carlos Matallanas,Carlos Matallanas,Person
Martorell,Martorell,Place
España,España,Place
María Domínguez,María Domínguez,Person
España,España,Place
Fuendejalón,Fuendejalón,Place
Barcelona,Barcelona,Place
Guardia Urbana,Guardia Urbana,Organization
Mossos,Mossos,Organization
PP,PP,Organization
CGPJ,CGPJ,Organization
TC,TC,Organization
España,España,Place
Costa Rica,Costa Rica,Place
España,España,Place
España,España,Place
ACB,ACB,Organization
Pau,Pau,Person
Gobierno de coalición,Gobierno de coalición,Organization
España,España,Place
Navarra,Navarra,Place
Gipuzkoa,Gipuzkoa,Place
Francia,Francia,Place
Extremadura,Extremadura,Place
España,España,Place
Extremadura,Extremadura,Place
PGE,PGE,Organization
Alta Velocidad Madrid - Extremadura,Alta Velocidad Madrid - Extremadura,Place
Marte,Marte,Place
España,España,Place
PP,PP,Organization
Cs,Cs,Organization
G5 Sahel,G5 Sahel,Organization
España,España,Place
Sahel,Sahel,Place
Comisión Interministerial,Comisión Interministerial,Organization
Transformación y Resiliencia,Transformación y Resiliencia,Organization
España,España,Place
Cataluña,Cataluña,Place
España,España,Place
Mario Draghi,Mario Draghi,Person
Italia,Italia,Place
España,España,Place
Europa,Europa,Place
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Barcelona,Barcelona,Place
Cataluña,Cataluña,Place
Ley de Startups,Ley de Startups,Other
España,España,Place
Generalitat,Generalitat,Organization
Cataluña,Cataluña,Place
Barcelona,Barcelona,Place
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Generalitat,Generalitat,Organization
Cataluña,Cataluña,Place
Girona,Girona,Place
Salvador Illa,Salvador Illa,Person
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Salvador,Salvador,Place
Cataluña,Cataluña,Place
España,España,Place
Cataluña,Cataluña,Place
Lleida,Lleida,Place
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
España,España,Place
Tarragona,Tarragona,Place
Cataluña,Cataluña,Place
Ángel,Ángel,Person
Mieres,Mieres,Place
Alta Velocidad Monforte del Cid-Elche-Orihuela,Alta Velocidad Monforte del Cid-Elche-Orihuela,Place
España,España,Place
España,España,Place
Myanmar,Myanmar,Place
Hana,Hana,Person
España,España,Place
Salvador Illa,Salvador Illa,Person
Cataluña,Cataluña,Place
Tarragona,Tarragona,Place
Generalitat,Generalitat,Organization
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Cataluña,Cataluña,Place
Barcelona,Barcelona,Place
Reyes,Reyes,Person
Cuerpo Diplomático,Cuerpo Diplomático,Organization
España,España,Place
Comunidad Internacional,Comunidad Internacional,Organization
España,España,Place
Acuerdo de París,Acuerdo de París,Other
Teresa,Teresa,Person
Estonia,Estonia,Place
Europa,Europa,Place
Marcelo Rebelo de Sousa,Marcelo Rebelo de Sousa,Person
Portugal,Portugal,Place
España,España,Place
Estados,Estados,Place
Cataluña,Cataluña,Place
Salvador Illa,Salvador Illa,Person
España,España,Place
España,España,Place
España,España,Place
Zaragoza,Zaragoza,Place
Aragón,Aragón,Place
España,España,Place
EUCO,EUCO,Organization
UE,UE,Organization
EE.UU,EE.UU,Place
USA,USA,Place
United States of America,United States of America,Place
US,US,Place
Spain,Spain,Place
US,US,Place
España,España,Place
EE.UU,EE.UU,Place
calle Toledo,calle Toledo,Place
Madrid,Madrid,Place
calle Toledo,calle Toledo,Place
Madrid,Madrid,Place
Plan de Acceso Universal Vacunación Solidaria,Plan de Acceso Universal Vacunación Solidaria,Other
España,España,Place
Sergi Mingote,Sergi Mingote,Person
K2,K2,Organization
FCS,FCS,Organization
Mijas,Mijas,Place
Sandra,Sandra,Person
Cristina,Cristina,Person
US Congress,US Congress,Organization
Capitol Hill,Capitol Hill,Place
Spain,Spain,Place
United States,United States,Place
Congreso de EEUU,Congreso de EEUU,Organization
Capitolio,Capitolio,Place
España,España,Place
Estados Unidos,Estados Unidos,Place
Capitol Hill,Capitol Hill,Place
Washington,Washington,Place
America,America,Place
Capitolio,Capitolio,Place
Washington,Washington,Place
EE.UU,EE.UU,Place
Arsenio Lope Huerta,Arsenio Lope Huerta,Person
Alcalá de Henares,Alcalá de Henares,Place
Las Palmas,Las Palmas,Organization
Torrejón,Torrejón,Person
Reino Unido,Reino Unido,Place
Gibraltar,Gibraltar,Place
Argentina,Argentina,Place
Senado,Senado,Organization
Croacia,Croacia,Place
España,España,Place
Araceli,Araceli,Person
Mónica,Mónica,Person
España,España,Place
UE,UE,Organization
Reino Unido,Reino Unido,Place
España,España,Place
Gibraltar,Gibraltar,Place
Charo,Charo,Person
Cáceres,Cáceres,Place
Europa,Europa,Place
Canarias,Canarias,Place
Casado,Casado,Person
CGPJ,CGPJ,Organization
Tribunal Constitucional,Tribunal Constitucional,Organization
Europa,Europa,Place
España,España,Place
España,España,Place
Hospital Regional de Málaga,Hospital Regional de Málaga,Organization
Massimo Colombi,Massimo Colombi,Person
Acuerdo de Dayton,Acuerdo de Dayton,Other
Muñoz Castellanos,Muñoz Castellanos,Person
Mostar,Mostar,Place
Bosnia,Bosnia,Place
Herzegovina,Herzegovina,Place
Acuerdo de París,Acuerdo de París,Other
Gobierno de España,Gobierno de España,Organization
Europa,Europa,Place
UE,UE,Organization
UE,UE,Organization
España,España,Place
UE,UE,Organization
Bruselas,Bruselas,Place
Bruselas,Bruselas,Place
Europa,Europa,Place
Pedro Piqueras,Pedro Piqueras,Person
España,España,Place
Tabaré Vázquez,Tabaré Vázquez,Person
Uruguay,Uruguay,Place
Cantabria,Cantabria,Place
España,España,Place
Agencia Europea del Medicamento,Agencia Europea del Medicamento,Organization
España,España,Place
Lebanon,Lebanon,Place
Beirut,Beirut,Place
Spain,Spain,Place
Beirut,Beirut,Place
España,España,Place
Estrategia Nacional de Inteligencia Artificial,Estrategia Nacional de Inteligencia Artificial,Other
España,España,Place
Ángela Molina,Ángela Molina,Person
Luis Buñuel,Luis Buñuel,Person
Goya de Honor 2021,Goya de Honor 2021,Other
Atapuerca,Atapuerca,Place
Patrimonio de la Humanidad,Patrimonio de la Humanidad,Other
España,España,Place
Soleá,Soleá,Person
Juan,Juan,Person
Dios Román,Dios Román,Person
